company,status_id,status_message,link_name,status_type,status_link,status_published,likes,comments,shares
natus,505085622958899_907844339349690,NATUS ook aanwezig op Vakbeurs Elektro te Hardenberg,Photos from NATUS GmbH & Co. KG Nederland's post,photo,https://www.facebook.com/natusnederland/photos/a.561700837297377.1073741831.505085622958899/907844246016366/?type=3,2016-11-30 20:10:55,4,0,1
natus,505085622958899_899671800166944,"Op 29, 30 november en 1 december staan wij op de Elektro Vakbeurs in Hardenberg
.
Kom eens een kijkje nemen bij standnummer 428 !",Timeline Photos,photo,https://www.facebook.com/natusnederland/photos/a.519519684848826.1073741830.505085622958899/899671800166944/?type=3,2016-11-18 13:18:22,1,0,0
natus,505085622958899_673233952810731,,NATUS op de beurs Elektrotechniek 2015,link,https://www.linkedin.com/pulse/natus-op-de-beurs-elektrotechniek-2015-rob-van-schie,2015-08-05 13:33:28,11,0,2
natus,505085622958899_631356163665177,"Honderden panelen middenspanning en laagspanning worden jaarlijks naar Nederlandse klanten verzonden.

Transportbedrijf van Grinsven te Schaijk helpt ons daar vaak bij. 

Dit keer wordt een deel van de schakelinstallaties opgehaald voor pompstation Tilburg van Brabant Water.",Mobile Uploads,photo,https://www.facebook.com/natusnederland/photos/a.561700837297377.1073741831.505085622958899/631356163665177/?type=3,2015-05-01 04:27:13,11,0,2
natus,505085622958899_617521161715344,"Voor het nieuwe schakelstation van Zeeland Refinery leverde NATUS 17,5KV en 7,2KV verdeelinrichtingen.
Deze robuuste verdeelsystemen voldoen aan hoge eisen;
nominaalstromen van 4.000A respectievelijk 2.500A en een kortsluitvastheid van 50kA 3s.
Meer informatie in onze NATUS Nieuwsbrief
http://www.natus.de/images/stories/NATUS-NIEUWSBRIEF.pdf",Timeline Photos,photo,https://www.facebook.com/natusnederland/photos/a.519519684848826.1073741830.505085622958899/617521161715344/?type=3,2015-04-02 14:46:15,12,0,0
natus,505085622958899_519541051513356,"NATUS op de FLUOR Constructionweek

Ieder jaar organiseert FLUOR wereldwijd een zogenaamde Constructionweek. Tijdens deze week kunnen klanten en medewerkers zich informeren over geselecteerde bedrijven, produkten of innovatieve technieken. Ook NATUS was gevraagd om zich te presenteren.

Tijdens verschillende sessies kregen de toehoorders een indruk van de meerwaarde die NATUS kan bieden voor industriële gebruikers. 

Daarnaast had men de mogelijkheid eens daadwerkelijk zelf te werken met een MCC. Het demomodel van het laagspanningsverdeelsysteem ENERGON biedt hierbij de kans zelf de laden in- en uit te rijden en eens goed te bekijken hoe dit alles in zijn werk gaat.

Een mooi vervolg op de projekten die NATUS voor FLUOR leverde!",,photo,https://www.facebook.com/natusnederland/photos/a.519519684848826.1073741830.505085622958899/519539338180194/?type=3,2014-09-16 12:02:42,6,1,0
natus,505085622958899_505110669623061,,Jaarbeurs Elektrotechniek 2013 Utrecht,photo,https://www.facebook.com/natusnederland/photos/a.505110486289746.1073741829.505085622958899/505110669623061/?type=3,2014-08-26 13:34:15,0,0,0
natus,505085622958899_505108042956657,,Middenspanning verdeelinrichtingen,photo,https://www.facebook.com/natusnederland/photos/a.505107996289995.1073741828.505085622958899/505108042956657/?type=3,2014-08-26 13:29:27,0,0,0
natus,505085622958899_505103242957137,"Natus Schaltanlagen-Systeme Trier, Germany",NATUS GmbH & Co. KG Nederland's cover photo,photo,https://www.facebook.com/natusnederland/photos/a.505103289623799.1073741827.505085622958899/505103242957137/?type=3,2014-08-26 13:11:46,5,0,0
