company,status_id,status_message,link_name,status_type,status_link,status_published,likes,comments,shares
ksv,181739105210109_878197138902152,https://www.youtube.com/watch?v=Xm02lmVMdqs,KSV Unternehmensfilm (Deutsch),video,https://www.youtube.com/watch?v=Xm02lmVMdqs,2015-08-23 09:13:03,0,1,0
ksv,181739105210109_638936969490318,,Koblenzer Steuerungs- und Verteilungsbau GmbH's cover photo,photo,https://www.facebook.com/181739105210109/photos/a.638937196156962.1073741826.181739105210109/638936969490318/?type=3,2013-11-18 07:35:26,3,0,0
