company,created_at,favorite_count,retweet_count,reply_to,content,hashtags,retweet,quote
BLUMENBECKER,2016-07-22 08:15:49,0,0,,"#Kraninstallation in Glasmanufaktur erforderte höchste Konzentration.
https://t.co/BC5MpwfpLg https://t.co/FrTsTuF72n",['kraninstallation'],False,False
BLUMENBECKER,2016-07-19 13:09:48,0,0,,Tree plantation in India on 1 July 2016 with our colleagues from Blumenbecker KAT https://t.co/u3B0sMjcUA,,False,False
BLUMENBECKER,2016-07-18 07:41:03,1,0,,Teilnahme an EU-Forschungsprojekt zur Entwicklung innovativer Schweißverfahren. https://t.co/ZZqPEhXHMa https://t.co/urs87qYS6p,,False,False
BLUMENBECKER,2016-07-14 13:23:58,0,0,,Unser neustes Videoprojekt über das Dienstleistungsportfolio im Bereich Industrierobotik. https://t.co/MiVPWOLokX,,False,False
BLUMENBECKER,2016-07-12 13:11:55,0,0,,Neue Standorte in #Krakau und #Pamplona eröffnet. https://t.co/sd4WOkwrWs,"['krakau', 'pamplona']",False,False
BLUMENBECKER,2016-07-06 14:57:43,0,0,,Die Gewinner des @VDE Technikpreis stehen fest. Tolle Leistung von allen Beteiligten. https://t.co/WK2Qfi3uuu https://t.co/ScfFyxYaNc,,False,False
BLUMENBECKER,2016-07-05 07:03:22,0,0,,Seit dem 01.07.16 sind wir jetzt auch in Süddeutschland in der Nähe von Stuttgart vertreten https://t.co/EsOI2JUthl https://t.co/5UCxKcddPS,,False,False
BLUMENBECKER,2016-06-30 11:08:25,0,0,,"Dürfen wir vorstellen, unser Standort in Soest. Danke an die Azubis für das kleine Video. https://t.co/vhfMEViZqw",,False,False
BLUMENBECKER,2016-06-29 07:55:39,1,0,,Thanks for visiting us on #Automatica16. Our staff was pleased to meet you. https://t.co/PfOBZVHS6d https://t.co/O4ikF8wydv,['automatica16'],False,False
BLUMENBECKER,2016-06-24 12:01:32,0,0,,Letzter Tag auf der #Automatica16. Wir bedanken uns schon jetzt bei allen Besuchern unseres Messestandes. Let's do business together. 💪,['automatica16'],False,False
BLUMENBECKER,2016-06-23 14:49:05,0,0,,Ein Auszug unseres Leistungsangebot. Morgen letzte Chance sich live auf der #Automatica16 davon ein Bild  zu machen https://t.co/4rKGXZ1t7e,['automatica16'],False,False
BLUMENBECKER,2016-06-23 10:00:19,0,0,,Danke an @AUTOMATICAfair für uns den cyanfarbenen Teppich zur #Automatica16 zu legen. 👍 https://t.co/b5mwEPq6nu,['automatica16'],False,False
BLUMENBECKER,2016-06-23 07:43:00,1,0,,#Automatica16 wir geben Gas auch bei 30° draußen. Danke an @messemuenchen für das erträgliche Klima in den Hallen. Vorallem A4 Stand 510 :-),['automatica16'],False,False
BLUMENBECKER,2016-06-23 05:38:53,0,1,,RT @murrplastik: Ready to rumble #Automatica16 Halle A4. @KUKA_Presse @murrplastik @Gudelmx @bettervision @PepperlFuchs @Fraunhofer_IPA @BL…,['automatica16'],False,False
BLUMENBECKER,2016-06-22 12:38:01,1,0,,#Automatica16 diesen Latte gibt es in Halle A4 Stand 510. 😀 https://t.co/kcYom7lVkP,['automatica16'],False,False
BLUMENBECKER,2016-06-22 06:59:37,2,3,,Tag 2 auf der #Automatica16 viel Erfolg in Halle A4. @KUKA_Presse @murrplastik @Gudelmx @bettervision @PepperlFuchs @igusUK @Fraunhofer_IPA,['automatica16'],False,False
BLUMENBECKER,2016-06-21 14:51:10,1,0,,Gleich Ende auf der #Automatica16 und dann schnell zum Fußball gucken. 😀 #GERNIR,"['automatica16', 'gernir']",False,False
BLUMENBECKER,2016-06-21 08:53:01,1,0,,Großer Andrang auf der #Automatica16 bei unserer Bin Picking Anlage. https://t.co/h9ZMOV7aQS,['automatica16'],False,False
BLUMENBECKER,2016-06-21 07:06:08,1,0,,Good Morning #Munich! Good Morning visitors on #Automatica16 your welcome at our stand A4.510,"['munich', 'automatica16']",False,False
BLUMENBECKER,2016-06-20 14:58:45,1,0,,Die Verladung unserer #Roboter Applikation zur #Automatica16 hat gut geklappt. Morgen geht's los. #Vorfreude! https://t.co/E1yP5kbgU0,"['roboter', 'automatica16', 'vorfreude']",False,False
BLUMENBECKER,2016-06-15 07:12:46,0,0,RadioWAF,"@RadioWAF @lbbohle Danke für tolle Veranstaltung gestern Abend. Schön zu wissen, wie andere Unternehmen sich dem Thema widmen. #UKWAF2016",['ukwaf2016'],False,False
BLUMENBECKER,2016-06-15 07:09:42,0,1,,"RT @RadioWAF: Social Media - Unternehmenskommunikation: Best practice aus dem Kreis WAF, Do19-20 Uhr in ""Standort Hier"". @lbbohle @BLUMENBE…",,False,False
BLUMENBECKER,2016-06-15 06:20:46,0,0,,Nur noch wenige Tage bis zur #Automatica16. Vereinbaren Sie noch schnell einen #Termin mit uns. https://t.co/CVlOKMRXVk,"['automatica16', 'termin']",False,False
BLUMENBECKER,2016-06-10 10:15:40,1,1,EGS_GmbH,@EGS_GmbH wird sind bei der #Automatica16 Stand A4.510 und der #AMB16 Stand 3D15 vertreten :-),"['automatica16', 'amb16']",False,False
BLUMENBECKER,2016-06-10 09:15:34,0,0,induux_de,@induux_de Wo bleibt die #Automatica16 Twitterwall?,['automatica16'],False,False
BLUMENBECKER,2016-06-10 09:13:38,0,0,,#Automatisierung in der #Automobilindustrie 4km lange Skid-Förderanlage in Betrieb genommen. @induux_de #ixn https://t.co/6k7465NBQp,"['automatisierung', 'automobilindustrie', 'ixn']",False,False
BLUMENBECKER,2016-06-02 10:11:43,0,0,,Kommt zum Tag der Ausbildung am 10. Juni bei Blumenbecker in Beckum. https://t.co/io0y6aCq3y,,False,False
BLUMENBECKER,2016-05-27 13:20:01,0,0,,#BeckumBoomt kann beginnen. Unser Stand ist fertig. Morgen 10 Uhr geht's los. https://t.co/4DwZkG3RJS https://t.co/k9ZQMT3Aht,['beckumboomt'],False,False
BLUMENBECKER,2016-05-25 07:49:12,0,0,,Tolles Familienevent unserer Kollegen aus #Polen. #KUKA #basketball https://t.co/Nnvfxe1Hiy,"['polen', 'kuka', 'basketball']",False,False
BLUMENBECKER,2016-05-20 10:58:17,0,1,,RT @induux_de: Problemlöser für die Logistikbranche #Hubtisch #Schwenkarmbühne #Verladeschleuse #Anfahrtschutzsysteme https://t.co/bwXerjkf…,"['hubtisch', 'schwenkarmbühne', 'verladeschleuse', 'anfahrtschutzsysteme']",False,False
BLUMENBECKER,2016-05-20 10:20:04,0,0,,Nächste Woche Gewerbeschau in #Beckum 28. bis 29. Mai mit großem Gewinnspiel bei uns am Stand. https://t.co/jWyOd6syoh,['beckum'],False,False
BLUMENBECKER,2016-05-19 13:44:08,0,1,,RT @induux_de: Projektvideo: Blumenbecker betreut OHRMANN MONTAGETECHNIK #Industrietechnik #Industriebedarf https://t.co/ZXjyWlcSY9 @blumen…,"['industrietechnik', 'industriebedarf']",False,False
BLUMENBECKER,2016-05-18 14:32:49,0,5,,RT @induux_de: Top-Profile auf #induux Teil 2 https://t.co/iIWgUJW9uy  @murrplastik @blumenbecker @Balluff @iefwerner @KIPPWERK @Scheugenpf…,['induux'],False,False
BLUMENBECKER,2016-05-17 09:57:04,0,0,,"Problemlöser für die #Logistikbranche. Tor und Verladetechnik, Wartung und Prüfungen https://t.co/bRsljNYjcl https://t.co/5zomeLgof9",['logistikbranche'],False,False
BLUMENBECKER,2016-05-17 08:33:58,0,5,,RT @induux_de: Gesamt-Ranking Aufsteiger KW19  https://t.co/lcJZIgxgdO @kuka_systems @heideldruck @Balluff @SEWEURODRIVE @murrelekronik @bl…,,False,False
BLUMENBECKER,2016-05-13 11:11:37,1,1,,"#TGIF Den USB-Stick Roboter bringen wir übrigens mit zur #Automatica16 nach München, Stand A4/510 @induux_de #ixe https://t.co/oC3qX8N6Jr","['tgif', 'automatica16', 'ixe']",False,False
BLUMENBECKER,2016-05-12 15:04:49,1,0,,25 Jahre Blumenbecker in #Lippstadt. Partner von #Industrie und #Handwerk vor Ort. Wir freuen uns auf weitere Jahre! https://t.co/sZJ2KT5PST,"['lippstadt', 'industrie', 'handwerk']",False,False
BLUMENBECKER,2016-05-12 14:57:56,0,1,,RT @IHK_NW: #IHK-Projekt Partnerschaft Schule-Betrieb: @BLUMENBECKER unterstützt Gesamtschüler https://t.co/XEFJWPAmmn https://t.co/fjl8X84…,['ihk'],False,False
